Planet,Link
TOI-3568-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3568_b
TOI-2384-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2384_b
TOI-2379-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2379_b
TOI-6034-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6034_b
TIC-4672985-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-4672985_b
OGLE-2017-BLG-0448L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-0448L_b
TOI-5218-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5218_b
OGLE-2017-BLG-0448L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2017-BLG-0448L_b
TOI-5218-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5218_b
TOI-2529-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2529_b
TOI-286-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-286_c
TOI-286-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-286_b
TOI-5616-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5616_b
K2-419-A-b,https://eyes.nasa.gov/apps/exo/#/planet/K2-419-A_b
TOI-5634-A-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5634-A_b
TOI-6255-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6255_b
TOI-6255-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6255_b
TOI-4379-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4379_b
TOI-6029-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-6029_b
GJ-238-b,https://eyes.nasa.gov/apps/exo/#/planet/GJ-238_b
TOI-1408-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1408_c
Gaia22dkvL-b,https://eyes.nasa.gov/apps/exo/#/planet/Gaia22dkvL_b
TOI-1798.02,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1798.02
HD-77946-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-77946_b
TOI-1798.02,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1798.02
HD-77946-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-77946_b
HD-6061-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-6061_b
HD-135694-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-135694_b
TOI-757-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-757_b
HD-25463-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-25463_c
HD-25463-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-25463_b
HIP-8152-c,https://eyes.nasa.gov/apps/exo/#/planet/HIP-8152_c
HIP-8152-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-8152_b
HIP-8152-b,https://eyes.nasa.gov/apps/exo/#/planet/HIP-8152_b
TOI-1410-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1410_c
TOI-1294-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1294_c
TIC-46432937-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-46432937_b
TIC-241249530-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-241249530_b
TOI-3261-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3261_b
TOI-2128-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2128_b
TOI-2088-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2088_b
TOI-2128-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2128_b
TOI-2088-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2088_b
TOI-1836-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1836_c
TOI-1836-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1836_b
TOI-1824-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1824_b
TOI-1799-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1799_b
TOI-1794-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1794_b
TOI-1776-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1776_b
TOI-1775-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1775_b
TOI-1775-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1775_b
TOI-1753-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1753_b
TOI-1723-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1723_b
TOI-1691-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1691_b
TOI-1669-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1669_c
TOI-1472-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1472_b
TOI-1451-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1451_b
TOI-1443-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1443_b
TOI-1443-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1443_b
TOI-1437-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1437_b
TOI-1294-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1294_b
TOI-1279-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1279_b
TOI-1269-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1269_b
TOI-1249-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1249_b
TOI-1248-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1248_b
TOI-1244-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1244_b
TOI-1244-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1244_b
TOI-1180-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1180_b
TOI-1174-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1174_b
TOI-1173-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1173_b
TOI-762-A-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-762-A_b
TOI-480-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-480_b
TOI-260-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-260_b
TOI-5301-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5301_b
TOI-5301-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5301_b
TOI-5232-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5232_b
TOI-4153-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4153_b
TOI-3919-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3919_b
TOI-3894-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3894_b
TOI-3321-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3321_b
TOI-2368-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2368_b
TOI-2107-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2107_b
TOI-2107-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2107_b
TOI-1898-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1898_b
TOI-1855-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1855_b
TOI-1823-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1823_b
TOI-1742-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1742_b
TOI-1439-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1439_b
TOI-329-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-329_b
TOI-1798.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1798.01
TOI-329-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-329_b
TOI-1798.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1798.01
HD-48948-d,https://eyes.nasa.gov/apps/exo/#/planet/HD-48948_d
HD-48948-c,https://eyes.nasa.gov/apps/exo/#/planet/HD-48948_c
HD-48948-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-48948_b
OGLE-2014-BLG-0221L-b,https://eyes.nasa.gov/apps/exo/#/planet/OGLE-2014-BLG-0221L_b
TOI-1224-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1224_c
TOI-1224-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1224_b
TOI-669-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-669_b
TOI-669-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-669_b
TOI-663-d,https://eyes.nasa.gov/apps/exo/#/planet/TOI-663_d
TOI-663-c,https://eyes.nasa.gov/apps/exo/#/planet/TOI-663_c
TOI-663-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-663_b
KMT-2023-BLG-1431L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-1431L_b
TIC-365102760-b,https://eyes.nasa.gov/apps/exo/#/planet/TIC-365102760_b
BD-14-3065-b,https://eyes.nasa.gov/apps/exo/#/planet/BD-14-3065_b
TOI-3071-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3071_b
BD-14-3065-b,https://eyes.nasa.gov/apps/exo/#/planet/BD-14-3065_b
TOI-3071-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3071_b
TOI-2374-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2374_b
HD-284149-AB-b,https://eyes.nasa.gov/apps/exo/#/planet/HD-284149-AB_b
TOI-5076-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5076_b
KMT-2023-BLG-0735L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-0735L_b
KMT-2023-BLG-0469L-b,https://eyes.nasa.gov/apps/exo/#/planet/KMT-2023-BLG-0469L_b
MOA-2022-BLG-563L-b,https://eyes.nasa.gov/apps/exo/#/planet/MOA-2022-BLG-563L_b
NGTS-26-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-26_b
NGTS-26-b,https://eyes.nasa.gov/apps/exo/#/planet/NGTS-26_b
TOI-2120-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2120_b
TOI-1448-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1448_b
TOI-782-b,https://eyes.nasa.gov/apps/exo/#/planet/TOI-782_b
TOI-4527.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4527.01
TOI-5388.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5388.01
TOI-5082.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5082.01
TOI-4602.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4602.01
TOI-4602.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4602.01
TOI-4495.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4495.01
TOI-4443.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4443.01
TOI-3353.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3353.01
TOI-1806.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1806.01
TOI-1683.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1683.01
TOI-1410.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1410.01
TOI-907.01,https://eyes.nasa.gov/apps/exo/#/planet/TOI-907.01
